loss,train_auc,valid_auc,params,iteration,train_time,best_round,feature_importance
-0.7887839084783481,0.8021086155303777,0.7887839084783481,"{'max_depth': 7, 'num_leaves': 75, 'subsample': 0.7569485717765505, 'colsample_bytree': 0.9968937848899927, 'reg_alpha': 0.01155506709469221, 'reg_lambda': 0.06255585618901735, 'min_child_samples': 70, 'min_split_gain': 0.04074927227693123, 'learning_rate': 0.05, 'objective': 'binary', 'metric': 'auc', 'boosting_type': 'gbdt', 'verbose': -1, 'random_state': 42, 'is_unbalance': True, 'force_col_wise': True}",31,7.066069600172341,86,"[2281.377103885015, 199199.05752426884, 11109.333288133144, 72344.56095894177, 108496.04528318842, 97506.09046364327, 27898.02821256717, 15967.094157556692, 20075.558068474133]"
-0.7885465729868605,0.7964226290941291,0.7885465729868605,"{'max_depth': 7, 'num_leaves': 25, 'subsample': 0.7478464947403557, 'colsample_bytree': 0.9171697469877647, 'reg_alpha': 0.06884943663776527, 'reg_lambda': 0.07297993139930851, 'min_child_samples': 25, 'min_split_gain': 0.041551061934718705, 'learning_rate': 0.05, 'objective': 'binary', 'metric': 'auc', 'boosting_type': 'gbdt', 'verbose': -1, 'random_state': 42, 'is_unbalance': True, 'force_col_wise': True}",32,7.5269194999709725,143,"[1755.5853469371796, 160485.14634625116, 6955.100108861923, 67952.08414824803, 151633.5930273533, 95204.29488356908, 24243.971075932186, 8798.269600629807, 21990.299480279285]"
-0.7888206469028433,0.7969175151212845,0.7888206469028433,"{'max_depth': 8, 'num_leaves': 40, 'subsample': 0.8078244939773477, 'colsample_bytree': 0.8323027065786255, 'reg_alpha': 0.010416701604546646, 'reg_lambda': 0.4400903192492822, 'min_child_samples': 90, 'min_split_gain': 0.07994699467169245, 'learning_rate': 0.05, 'objective': 'binary', 'metric': 'auc', 'boosting_type': 'gbdt', 'verbose': -1, 'random_state': 42, 'is_unbalance': True, 'force_col_wise': True}",33,6.354899000143632,90,"[1981.4967017173767, 131851.68699026108, 9377.729239463806, 64953.626252651215, 175137.2814617157, 98149.27999242146, 23631.73354244232, 9515.171450138092, 22217.400267442066]"
-0.7886733517310462,0.797417939774934,0.7886733517310462,"{'max_depth': 8, 'num_leaves': 40, 'subsample': 0.8022230918173996, 'colsample_bytree': 0.8220577705333472, 'reg_alpha': 0.11176072333600534, 'reg_lambda': 0.5240567896095697, 'min_child_samples': 95, 'min_split_gain': 0.08171201089169812, 'learning_rate': 0.05, 'objective': 'binary', 'metric': 'auc', 'boosting_type': 'gbdt', 'verbose': -1, 'random_state': 42, 'is_unbalance': True, 'force_col_wise': True}",34,6.65069629997015,97,"[1982.2234616279602, 132728.2365401586, 9958.77131398519, 65285.09110355377, 175178.0844370524, 98763.06777159373, 23269.607100168865, 10200.436916351318, 22120.49656534195]"
-0.7878821912959652,0.7957610942325184,0.7878821912959652,"{'max_depth': 8, 'num_leaves': 20, 'subsample': 0.8582657407995978, 'colsample_bytree': 0.8561434335007903, 'reg_alpha': 0.028606981398208737, 'reg_lambda': 0.9545118390051768, 'min_child_samples': 105, 'min_split_gain': 0.11385141300280008, 'learning_rate': 0.05, 'objective': 'binary', 'metric': 'auc', 'boosting_type': 'gbdt', 'verbose': -1, 'random_state': 42, 'is_unbalance': True, 'force_col_wise': True}",35,8.617121200077236,183,"[1829.5154544512432, 171959.25994161764, 6346.524078090985, 66807.38406999905, 142504.052717487, 95770.96688421567, 24304.733040253323, 8899.45511897405, 19838.241742451984]"
-0.788756693839831,0.7965630484276488,0.788756693839831,"{'max_depth': 8, 'num_leaves': 35, 'subsample': 0.8128311540542944, 'colsample_bytree': 0.8071670804862425, 'reg_alpha': 0.05289748885025176, 'reg_lambda': 0.031225924024514875, 'min_child_samples': 170, 'min_split_gain': 0.10494407165194777, 'learning_rate': 0.05, 'objective': 'binary', 'metric': 'auc', 'boosting_type': 'gbdt', 'verbose': -1, 'random_state': 42, 'is_unbalance': True, 'force_col_wise': True}",36,6.761563900159672,103,"[2035.3597548802693, 132390.60140419006, 9263.245469888052, 65617.88144556682, 174574.3830986023, 98560.61666822433, 22725.248802661896, 9005.960289637247, 23296.544716199238]"
-0.7884342963219302,0.7992677185442661,0.7884342963219302,"{'max_depth': 7, 'num_leaves': 50, 'subsample': 0.781933694623226, 'colsample_bytree': 0.8856877017646523, 'reg_alpha': 0.10504358417806446, 'reg_lambda': 0.010270195257071684, 'min_child_samples': 135, 'min_split_gain': 0.14514249225209008, 'learning_rate': 0.05, 'objective': 'binary', 'metric': 'auc', 'boosting_type': 'gbdt', 'verbose': -1, 'random_state': 42, 'is_unbalance': True, 'force_col_wise': True}",37,6.9916588999331,100,"[1960.0709880193074, 135325.43613052368, 10025.545185526213, 66910.701770703, 175025.57108565173, 97507.74720786512, 25511.725915670395, 13073.790330936512, 21617.232463041943]"
-0.7884850904638095,0.7967853077623315,0.7884850904638095,"{'max_depth': 7, 'num_leaves': 30, 'subsample': 0.8764790340873958, 'colsample_bytree': 0.8514526250087437, 'reg_alpha': 0.20305685111051405, 'reg_lambda': 0.38321200901105523, 'min_child_samples': 45, 'min_split_gain': 0.08054276024868859, 'learning_rate': 0.05, 'objective': 'binary', 'metric': 'auc', 'boosting_type': 'gbdt', 'verbose': -1, 'random_state': 42, 'is_unbalance': True, 'force_col_wise': True}",38,7.275283299852163,125,"[1746.717695236206, 155677.25209561983, 7682.007246812184, 67574.42896596591, 156892.74497302374, 94648.01181530952, 25043.90949352582, 9599.996617635092, 20344.50746377309]"
-0.7888345775432589,0.8036608566068454,0.7888345775432589,"{'max_depth': 8, 'num_leaves': 65, 'subsample': 0.637533564748811, 'colsample_bytree': 0.6914369647862737, 'reg_alpha': 0.014859790530025604, 'reg_lambda': 0.0318610858387982, 'min_child_samples': 85, 'min_split_gain': 0.010077590437645865, 'learning_rate': 0.05, 'objective': 'binary', 'metric': 'auc', 'boosting_type': 'gbdt', 'verbose': -1, 'random_state': 42, 'is_unbalance': True, 'force_col_wise': True}",39,7.520346999866888,103,"[3003.683996041616, 145845.11590091386, 15044.777816196283, 65724.08235784371, 159671.61114557585, 106829.6038737297, 23726.592177788418, 19407.556636412937, 23930.48975801468]"
-0.7885331083473407,0.80084728109962,0.7885331083473407,"{'max_depth': 7, 'num_leaves': 65, 'subsample': 0.6390316588464215, 'colsample_bytree': 0.6990031290282923, 'reg_alpha': 0.015043420647164948, 'reg_lambda': 0.025366942290567657, 'min_child_samples': 105, 'min_split_gain': 0.013817462326476938, 'learning_rate': 0.05, 'objective': 'binary', 'metric': 'auc', 'boosting_type': 'gbdt', 'verbose': -1, 'random_state': 42, 'is_unbalance': True, 'force_col_wise': True}",40,6.783102800138295,89,"[2734.599174062411, 143634.00066848597, 13130.572295767566, 65667.8965806514, 159048.2132332325, 104657.197503527, 22541.49063563347, 15520.250670045614, 24398.100571791332]"
